Country Code,2014,2015,2016,2017,2018
ARM,149836.495,196616.008,213782.842,233748.6908,165955.4219
AUT,87445468.22,75728293.9,76667142.28,83452064.2,93248878.18
AZE,1711754.922,2425465.574,2061250.011,2485371.807,3020432.502
BLR,21510739.2,15126070.5,15581821.7,18469059.2,19906348.4
BOL,7155289.597,4395871.675,2720523.701,3238705.863,3744552.894
BWA,2148012.866,1832111.309,1922770.063,794864.501,849914.6694
BFA,601015.237,248793.614,233094.881,311288.6541,409493.5434
BDI,37565.118,35090.9,34269.462,30387.95479,26859.02982
CAF,333.352,19740.089,8557.889,10897.37942,7349.453
CZE,88381170.81,80337568.5,82260216.96,92260174.75,102184045.6
SWZ,1253639.616,1213733.295,1182304.189,1309435.671,1323739.258
ETH,121564.3867,105457.0492,83181.94109,117991.9065,123142.0512
HUN,24533950.68,20462617.64,20693111.77,23555902.36,26163852.33
KAZ,18329651.14,11602171.91,9091858.137,12258345.36,13970556.38
KGZ,730422.232,382815.096,377768.02,534239.64,537096.255
LAO,2060859.967,2602947.074,2655758.176,4341713.342,5241603.603
LSO,188343.487,167163.0966,317441.8562,331175.5829,331175.5829
LUX,8069795.094,6801523.914,6865965.108,7441796.621,7992900.387
MDA,543268.913,492209.943,562741.222,666146.335,872608.599
MNG,5131714.694,3974289.074,3938897.183,5336599.139,6591465.494
NPL,612116.523,430569.525,412703.0191,442512.5235,442512.5235
MKD,1121920.623,906735.2105,896290.907,62972.86723,1218000.844
PRY,3716633.041,3262646.57,3915340.266,3959708.054,5039457.676
RWA,225603.8282,222582.6978,250539.1857,357141.4073,401523.9921
SRB,4856269.598,4402663.399,4899410.205,5658490.057,6647389.138
SVK,29267540.07,24942600.45,24441390.71,27216955.34,29801776.18
CHE,92558246.19,82555209.5,83894479.68,86402911.41,91398563.64
UGA,1165856.013,1230944.595,1144606.913,1351298.299,1473507.456
ZMB,1347229.397,1036334.692,932258.193,943535.443,1253510.837
ZWE,2761030.853,2606571.044,2640071.823,2623821.35,2567987.751
